LINKNO,subw_4,subw_5,subw_6,subw_7,subw_8
57692,231,89,49,48,48
57696,249,73,54,48,48
57699,303,109,65,55,48
57700,567,109,65,55,48
57701,245,93,61,48,48
57704,429,109,65,55,48
57705,377,129,61,48,48
57706,601,175,65,55,48
57708,601,175,65,55,48
57711,303,109,65,55,48
57716,304,110,66,56,48
57718,573,166,77,54,48
57721,304,110,66,56,48
57726,304,110,66,56,48
57727,473,151,77,54,48
57730,622,182,77,54,48
57731,771,110,66,56,48
57738,594,110,66,56,48
57740,849,217,87,56,48
57741,556,167,73,56,48
57744,424,139,73,56,48
57745,795,217,87,56,48
57746,424,139,73,56,48
57748,792,210,66,56,48
57825,498,137,58,50,49
57832,916,245,92,55,48
57835,544,135,69,51,49
57836,918,244,92,55,48
57838,407,118,58,50,49
57839,915,244,92,55,48
57840,910,242,91,55,48
57842,305,96,60,50,49
57843,282,95,59,50,49
57844,906,239,65,55,48
57845,923,243,92,55,48
57846,908,241,92,55,48
57848,255,96,60,50,49
57849,244,91,59,50,49
57851,898,234,90,55,48
57853,713,191,79,52,49
57854,240,88,51,50,49
57855,902,109,65,55,48
57857,644,165,79,52,49
57858,152,62,48,24,24
57859,538,165,79,52,49
57860,152,62,48,24,24
57862,119,63,48,24,24
57867,96,59,51,50,49
57868,538,165,79,52,49
57870,107,51,48,24,24
57873,236,75,55,49,49
57874,675,190,84,52,49
57875,96,59,51,50,49
57877,373,126,56,52,49
57878,335,115,56,52,49
57879,183,75,55,49,49
57880,23,23,23,23,23
57882,113,53,50,49,49
57883,373,126,56,52,49
57884,212,75,55,49,49
57885,53,18,18,18,18
57886,793,215,86,55,48
57888,60,48,12,12,12
57889,142,65,50,49,49
57892,105,57,49,48,48
57893,195,81,56,52,49
57894,195,81,56,52,49
57895,78,54,50,49,49
57896,196,82,57,53,49
57897,234,86,57,53,49
57898,229,87,57,53,49
57899,325,112,62,48,48
57900,327,102,57,53,49
57901,368,113,67,53,49
57902,724,201,80,55,48
57904,196,82,57,53,49
57905,384,113,67,53,49
57906,729,204,86,55,48
57907,196,82,57,53,49
57908,321,114,68,53,49
57909,321,114,68,53,49
57910,161,52,49,48,48
57912,332,103,63,48,48
57915,357,122,68,53,49
57916,232,89,49,48,48
57919,172,73,54,48,48
57920,188,80,54,48,48
57924,651,185,81,55,48
57925,292,52,49,48,48
57926,382,131,71,55,48
57928,303,109,65,55,48
57929,245,93,61,48,48
57930,603,176,81,55,48
57932,603,176,81,55,48
57940,304,110,66,56,48
57941,553,129,61,48,48
57942,473,151,77,54,48
57945,370,123,72,55,48
57947,663,173,77,54,48
57949,304,110,66,56,48
57952,529,163,76,54,48
57953,708,181,77,54,48
57954,374,127,73,56,48
57955,771,110,66,56,48
57957,424,139,73,56,48
57962,779,210,66,56,48
57965,304,110,66,56,48
57968,792,210,66,56,48
57969,795,217,87,56,48
57970,578,139,73,56,48
57972,795,217,87,56,48
57984,752,207,82,56,48
57987,684,196,82,56,48
57988,754,196,82,56,48
58057,255,96,60,50,49
58062,910,242,91,55,48
58063,915,244,92,55,48
58065,0,0,0,0,0
58066,910,242,91,55,48
58067,401,135,69,51,49
58070,901,238,65,55,48
58072,244,91,59,50,49
58073,433,135,69,51,49
58077,648,188,79,52,49
58078,252,95,59,50,49
58079,887,237,65,55,48
58081,644,165,79,52,49
58082,192,78,52,50,49
58083,303,109,65,55,48
58084,187,79,52,50,49
58086,152,62,48,24,24
58087,140,62,48,24,24
58088,156,68,52,50,49
58091,390,134,70,51,49
58092,591,81,56,52,49
58094,122,63,48,24,24
58095,96,59,51,50,49
58097,442,134,70,51,49
58098,303,109,65,55,48
58099,262,75,55,49,49
58100,96,59,51,50,49
58101,373,126,56,52,49
58102,850,229,89,55,48
58103,866,228,89,55,48
58104,64,50,21,21,21
58105,309,81,56,52,49
58106,183,75,55,49,49
58107,793,215,86,55,48
58108,195,81,56,52,49
58109,195,81,56,52,49
58110,804,220,65,55,48
58112,52,49,16,16,16
58113,131,65,50,49,49
58115,48,2,2,2,2
58116,105,57,49,48,48
58117,195,81,56,52,49
58118,195,81,56,52,49
58119,196,82,57,53,49
58120,804,220,65,55,48
58121,253,90,56,52,49
58122,368,113,67,53,49
58123,775,212,86,55,48
58124,724,201,80,55,48
58125,368,113,67,53,49
58126,770,212,86,55,48
58127,250,82,57,53,49
58128,723,200,80,55,48
58132,671,171,80,55,48
58133,575,171,80,55,48
58134,173,52,49,48,48
58136,367,114,68,53,49
58139,709,109,65,55,48
58140,575,171,80,55,48
58143,412,132,71,55,48
58144,57,52,49,48,48
58149,303,109,65,55,48
58150,382,131,71,55,48
58151,257,80,54,48,48
58152,488,152,65,55,48
58153,376,128,71,55,48
58154,603,176,81,55,48
58158,303,109,65,55,48
58160,303,109,65,55,48
58162,554,129,61,48,48
58164,344,123,72,55,48
58165,443,110,66,56,48
58166,374,127,73,56,48
58169,461,147,72,55,48
58171,473,151,77,54,48
58173,542,164,66,56,48
58176,513,160,78,56,48
58177,529,163,76,54,48
58178,540,147,72,55,48
58181,593,172,66,56,48
58183,666,181,77,54,48
58186,795,217,87,56,48
58187,656,182,77,54,48
58188,584,162,76,54,48
58189,799,219,87,56,48
58192,825,219,87,56,48
58193,557,168,73,56,48
58194,607,168,73,56,48
58205,725,179,82,56,48
58211,749,206,82,56,48
58212,774,205,85,56,48
58213,680,195,85,56,48
58281,545,135,69,51,49
58283,916,245,92,55,48
58286,933,242,91,55,48
58287,911,239,65,55,48
58290,909,239,65,55,48
58291,525,135,69,51,49
58294,901,238,65,55,48
58295,255,96,60,50,49
58296,903,238,65,55,48
58301,927,247,91,55,48
58302,272,71,53,51,49
58303,898,234,90,55,48
58304,211,68,52,50,49
58305,681,183,83,52,49
58306,416,133,70,51,49
58307,876,234,90,55,48
58308,202,83,58,50,49
58310,168,68,52,50,49
58311,187,79,52,50,49
58312,102,60,52,50,49
58315,495,126,56,52,49
58316,80,53,50,49,49
58317,133,63,48,24,24
58318,108,60,52,50,49
58319,442,134,70,51,49
58321,195,81,56,52,49
58323,295,75,55,49,49
58324,109,59,51,50,49
58325,475,140,56,52,49
58326,830,225,65,55,48
58327,303,109,65,55,48
58328,64,50,21,21,21
58330,861,220,65,55,48
58331,854,228,89,55,48
58332,862,220,65,55,48
58333,195,81,56,52,49
58335,60,48,12,12,12
58336,58,53,50,49,49
58337,200,81,56,52,49
58338,57,52,49,48,48
58339,195,81,56,52,49
58340,86,58,50,49,49
58341,813,216,86,55,48
58342,411,113,67,53,49
58343,233,90,56,52,49
58345,427,141,67,53,49
58346,835,220,65,55,48
58348,729,204,86,55,48
58349,320,113,67,53,49
58350,757,204,86,55,48
58351,368,113,67,53,49
58356,303,109,65,55,48
58357,786,211,65,55,48
58358,270,82,57,53,49
58359,270,82,57,53,49
58360,786,211,65,55,48
58361,521,153,75,55,48
58362,242,73,54,48,48
58364,303,109,65,55,48
58367,303,109,65,55,48
58368,382,131,71,55,48
58373,650,185,81,55,48
58374,303,109,65,55,48
58375,331,108,64,54,48
58376,303,109,65,55,48
58377,391,128,71,55,48
58378,633,185,81,55,48
58379,308,93,61,48,48
58381,0,0,0,0,0
58386,486,148,72,55,48
58389,832,224,88,56,48
58390,462,148,72,55,48
58393,502,148,72,55,48
58395,473,151,77,54,48
58400,541,147,72,55,48
58401,513,160,78,56,48
58402,540,147,72,55,48
58405,618,172,66,56,48
58407,656,182,77,54,48
58408,539,139,73,56,48
58411,528,162,76,54,48
58412,734,110,66,56,48
58415,528,162,76,54,48
58416,795,217,87,56,48
58418,616,179,82,56,48
58422,661,162,76,54,48
58429,855,219,87,56,48
58435,749,206,82,56,48
58437,809,214,85,56,48
58440,845,226,85,56,48
58447,788,207,82,56,48
58495,477,137,58,50,49
58502,251,94,59,50,49
58503,305,96,60,50,49
58510,917,244,92,55,48
58515,706,197,79,52,49
58519,408,118,58,50,49
58522,333,118,58,50,49
58523,244,91,59,50,49
58524,264,95,59,50,49
58526,924,246,91,55,48
58528,353,107,53,51,49
58529,893,237,65,55,48
58530,676,194,83,52,49
58532,538,165,79,52,49
58533,118,62,48,24,24
58534,198,79,52,50,49
58535,208,84,53,51,49
58536,197,79,52,50,49
58538,92,51,48,24,24
58539,875,233,90,55,48
58540,136,64,52,50,49
58541,177,71,53,51,49
58542,162,71,53,51,49
58543,591,81,56,52,49
58544,149,66,51,50,49
58547,373,126,56,52,49
58548,123,59,51,50,49
58549,583,81,56,52,49
58552,67,51,48,24,24
58555,847,228,89,55,48
58556,60,48,12,12,12
58557,817,212,86,55,48
58559,115,53,50,49,49
58560,816,215,86,55,48
58561,300,81,56,52,49
58562,72,54,50,49,49
58563,517,141,67,53,49
58564,142,65,50,49,49
58565,813,216,86,55,48
58567,804,220,65,55,48
58569,432,141,67,53,49
58573,386,124,68,53,49
58575,715,201,80,55,48
58579,57,52,49,48,48
58580,786,211,65,55,48
58582,782,211,65,55,48
58583,289,105,57,53,49
58585,358,122,68,53,49
58586,172,73,54,48,48
58589,172,73,54,48,48
58592,506,157,75,55,48
58594,285,101,54,48,48
58598,303,109,65,55,48
58599,322,109,65,55,48
58601,478,109,65,55,48
58602,670,193,81,55,48
58603,478,109,65,55,48
58605,302,108,64,54,48
58610,439,143,74,55,48
58614,558,169,74,55,48
58616,304,110,66,56,48
58619,424,139,73,56,48
58622,602,151,77,54,48
58626,540,147,72,55,48
58628,528,162,76,54,48
58629,618,172,66,56,48
58631,514,161,78,56,48
58632,594,110,66,56,48
58633,587,162,76,54,48
58635,635,178,66,56,48
58639,556,167,73,56,48
58642,304,110,66,56,48
58646,802,210,66,56,48
58647,595,167,73,56,48
58666,844,226,85,56,48
58667,760,208,82,56,48
58668,788,207,82,56,48
58671,815,195,85,56,48
58720,380,96,60,50,49
58726,498,137,58,50,49
58727,497,137,58,50,49
58728,497,137,58,50,49
58734,919,244,92,55,48
58739,923,243,92,55,48
58741,283,95,59,50,49
58743,451,135,69,51,49
58747,354,107,53,51,49
58748,897,238,65,55,48
58750,887,237,65,55,48
58752,329,116,69,51,49
58754,693,183,83,52,49
58756,538,165,79,52,49
58757,263,71,53,51,49
58758,178,72,51,50,49
58759,640,187,83,52,49
58760,290,106,53,51,49
58762,121,63,48,24,24
58763,875,233,90,55,48
58764,159,67,52,50,49
58765,426,134,70,51,49
58766,426,134,70,51,49
58767,303,109,65,55,48
58768,296,75,55,49,49
58771,583,81,56,52,49
58772,866,228,89,55,48
58773,195,81,56,52,49
58776,167,71,53,51,49
58777,51,14,14,14,14
58779,862,220,65,55,48
58780,113,53,50,49,49
58781,851,229,89,55,48
58782,53,18,18,18,18
58783,58,53,50,49,49
58784,858,220,65,55,48
58785,300,81,56,52,49
58786,144,65,50,49,49
58787,563,141,67,53,49
58788,243,81,56,52,49
58797,835,220,65,55,48
58799,775,212,86,55,48
58800,57,52,49,48,48
58802,325,112,62,48,48
58803,155,69,49,48,48
58807,690,109,65,55,48
58809,303,109,65,55,48
58810,357,122,68,53,49
58813,185,77,49,48,48
58816,303,109,65,55,48
58818,436,131,71,55,48
58821,345,80,54,48,48
58823,334,119,71,55,48
58825,303,109,65,55,48
58827,303,109,65,55,48
58829,341,121,66,56,48
58833,437,130,61,48,48
58834,576,169,74,55,48
58835,576,169,74,55,48
58840,462,148,72,55,48
58843,819,223,88,56,48
58844,655,173,77,54,48
58846,771,110,66,56,48
58847,631,181,77,54,48
58851,621,181,77,54,48
58852,579,172,66,56,48
58855,526,160,78,56,48
58856,795,217,87,56,48
58857,584,162,76,54,48
58859,634,178,66,56,48
58863,689,195,85,56,48
58869,565,161,78,56,48
58870,856,219,87,56,48
58871,795,217,87,56,48
58950,497,137,58,50,49
58952,918,244,92,55,48
58955,402,136,69,51,49
58959,361,94,59,50,49
58960,916,245,92,55,48
