time_step,corrected_at_t0,corrected_at_t1,corrected_at_t2,corrected_at_t3,corrected_at_t4,corrected_at_t5,corrected_at_t6,corrected_at_t7,corrected_at_t8,corrected_at_t9,corrected_at_t10,corrected_at_t11,corrected_at_t12,corrected_at_t13,corrected_at_t14,corrected_at_t15,corrected_at_t16,corrected_at_t17,corrected_at_t18,corrected_at_t19,corrected_at_t20,corrected_at_t21,corrected_at_t22,corrected_at_t23,corrected_at_t24,corrected_at_t25
-1,1.1841959126532626,1.2189755617258895,1.185127562574277,1.2514654670257126,1.186064480635581,1.2204647235803248,1.1942830901676458,1.2313850220233808,1.3240373941681665,1.2491467334571718,1.2548488740808517,1.309822196608585,1.344843634678928,1.5924973198217165,2.173685014644592,2.7755539920786285,3.3586220981585457,3.527352234833004,4.734791988684085,4.413866712767769,4.062231510623916,4.211042479476175,4.122009460003964,2.944782364204175,4.470014947172564,4.591477913714194
0,1.2538614041003413,1.220670169177793,1.1988994801735584,1.305703771653178,1.258830830945791,1.228035071517169,1.209562886134785,1.2325755424834997,1.3857254053522494,1.2512774374323417,1.2593070122858654,1.3090231600102444,1.4231141223978492,1.7684744816086204,2.1199708141135085,2.78099691782162,3.3137318546221164,3.530304662070992,4.688168586945346,4.410098867440632,4.07603071225753,4.20261329304718,4.097918163432007,3.080894355157104,4.484210239538348,4.593950958049068
1,,1.2197495969858017,1.185684275769263,1.213372762180246,1.1824912319439245,1.215780189486731,1.1851584241942124,1.2272144732781642,1.2136490477402253,1.2534391242256695,1.2261520546443934,1.322420194625134,1.346618464931225,1.6740074231551545,2.120957510998856,2.773596316540062,3.362811996590951,3.527603681097541,4.63910061361033,4.411960827142831,4.062935174582578,4.205953115377564,4.039258130910439,4.11901657406984,4.477563328752515,4.589280685285887
2,,,1.312103143443538,1.1516069351990668,1.2581046096735815,1.2236381788491828,1.3171830017310109,1.2303858185711498,1.3212484444836834,1.254133766558562,1.372233993642508,1.3194097227657122,1.420997437388761,1.4785899644566611,2.256666665745189,2.7762234105680506,3.313794768337127,3.520568467997449,4.227391388359219,4.410693243497903,4.073430597747571,4.19987417778194,4.074009827233258,4.105247219620924,4.491517047119666,4.589870739003151
3,,,,1.183345824959075,1.186737809381007,1.2214354840726842,1.195475150584992,1.2337903897189146,1.1958822135756444,1.252175756039744,1.2558811711916262,1.3099298938369155,1.347888298817299,1.4794140602541836,2.176837741903495,2.765810219060067,3.3630586049520708,3.520023481919927,4.210948079464265,4.40506716584402,4.0609083893152365,4.199704118899284,4.137889811760214,4.163695029275033,4.4814808934800014,4.591430345905163
4,,,,,1.2580887279027322,1.22575740705852,1.20750256883556,1.2348311856151817,1.2122751220456214,1.256143774362687,1.2591851558822509,1.3064375766750291,1.420938838086927,1.5950692238693536,2.1236252001059013,2.770558147182709,3.3076187187090915,3.5273457542140414,4.351057588838351,4.3985925544942885,4.0666594182692055,4.206601259175309,4.104808245626334,4.375277770717636,4.493371125631072,4.5846329628332745
5,,,,,,1.224037956307872,1.1858636562422715,1.2354986506407402,1.27161072539871,1.2573432942429648,1.2296141203847328,1.3118765627495332,1.3435968108019412,1.775254876660431,2.11954855257425,2.769311587297504,3.3531920601571654,3.526368012985878,4.440711977324961,4.39888208096791,4.0509193987806364,4.196448443590014,4.047645626960873,4.997726146993456,4.476337527137444,4.58851897752252
6,,,,,,,1.3165412406047092,1.230939747626332,1.2549458715280395,1.2578401675124005,1.3699922346135145,1.3198338273091443,1.4182930457064242,1.677715502920062,2.261914810152732,2.778971213675633,3.303796214302951,3.525112437630461,4.350559476170955,4.397769714053831,4.052690298358041,4.205386007958447,4.066687651067648,4.997099999543279,4.480509659244795,4.593665816556114
7,,,,,,,,1.22683848496323,1.010591292753928,1.2564593406940932,1.2577294007846531,1.3110834993753673,1.3420823467437109,1.4758128992842527,2.177605802223068,2.777644598681199,3.3532474698265045,3.52323975396623,4.337114144605315,4.396144385953615,4.049640739582218,4.225640309021049,4.111390101194447,4.997089714682303,4.479812955893496,4.594293959439425
8,,,,,,,,,1.197863473494642,1.250512525866043,1.2585374641146438,1.3076634805412513,1.412825107598587,1.483009539796331,2.128294546694747,2.783264332364036,3.31044458974232,3.523010159181018,3.6420830001600257,4.394581554544424,4.072722735307962,4.223797964235162,4.078940003983278,4.996921297557976,4.4925112379900725,4.596795423880464
9,,,,,,,,,,1.255220408101572,1.2278548414660615,1.3100486863255454,1.3414966348918331,1.5991373032809866,2.1203326856868974,2.784018847756378,3.3681391047842903,3.52834569292967,3.586952633983252,4.387360198845931,4.07042806434341,4.218473442561903,4.019745742566369,4.996592251106325,4.473015217858634,4.593206010621622
10,,,,,,,,,,,1.369004909082992,1.320739228155975,1.41511282390343,1.7732748220678405,2.264538955995175,2.787737778510464,3.3214894576858893,3.52676845265316,3.9930679773601296,4.388315335232143,4.093479459229778,4.2207584532071,4.03944963915095,4.99399321401823,4.476252595072163,4.596463308144798
11,,,,,,,,,,,,1.3164344228668223,1.3448517918244005,1.678275788882348,2.1770277742284145,2.788283475417452,3.3694455426506704,3.519910778719606,3.899472453864876,4.393397352182669,4.085731821496402,4.215171047154961,4.100858438194143,4.985030689572351,4.473813040073813,4.596531810379618
12,,,,,,,,,,,,,1.4180326647457255,1.4779046031564604,2.1238609521468503,2.788979917476285,3.320672581853536,3.5250214519815803,3.858583573530039,4.399467903211709,4.092038928703107,4.222176032490932,4.077611103438377,4.98974082452462,4.493331322911834,4.588362100040082
13,,,,,,,,,,,,,,1.4849702652989747,2.1252709219016546,2.7831857926767545,3.3690974293243987,3.527375930457688,3.867320787567489,4.400907579137284,4.077637675159788,4.227259296622441,4.02563265168189,4.993773032444124,4.480570775855011,4.590854784459728
14,,,,,,,,,,,,,,,2.25666977210749,2.7780516877480506,3.3111700250407887,3.5362222525676463,3.852585643955549,4.400746036357133,4.06598193895993,4.218883205264202,4.044949563759273,4.988767500149742,4.49057669260467,4.59521646633135
15,,,,,,,,,,,,,,,,2.7781783508997218,3.3567172974926485,3.5310155294192715,3.896041797336825,4.403147249027471,4.052581024272332,4.201927226929517,4.113245680990698,4.988597676509438,4.479584134594699,4.587801206328219
16,,,,,,,,,,,,,,,,,3.309904134105941,3.5231655201756698,4.60766016057308,4.409752716144873,4.051987275613344,4.193877327890657,4.0862394268756335,4.162615661806135,4.491629680741531,4.586016431161948
17,,,,,,,,,,,,,,,,,,3.5286698567690995,4.489999763196307,4.416331689573419,4.032055244935576,4.203980138935196,4.033612967014276,3.7845296227142153,4.462951088908144,4.579652668972153
18,,,,,,,,,,,,,,,,,,,4.531790656993436,4.416539879350731,4.040686190688488,4.209603471505021,4.05265698794028,2.8701578778547923,4.473698413565504,4.581165813945847
19,,,,,,,,,,,,,,,,,,,,4.412930395082506,4.033526773388135,4.198798269153857,4.106820426640354,2.5821699737529453,4.463963999801461,4.585056701210875
20,,,,,,,,,,,,,,,,,,,,,4.063204800231626,4.193634512745809,4.080506150783525,2.574804671918372,4.47915911875294,4.580879416099649
21,,,,,,,,,,,,,,,,,,,,,,4.207268874772051,4.025177626119262,2.5663158562362725,4.4506840537164,4.5826892723970865
22,,,,,,,,,,,,,,,,,,,,,,,4.053701036744248,1.765673404911595,4.467231075535907,4.591271431373276
23,,,,,,,,,,,,,,,,,,,,,,,,1.7134752282240306,4.469764816734569,4.583178858245982
24,,,,,,,,,,,,,,,,,,,,,,,,,4.4760421099040455,4.594431799845044
25,,,,,,,,,,,,,,,,,,,,,,,,,,4.5987482940017275
