history_lag,smoothed_alpha_mean
0,4.053701036744248
1,4.025177626119262
2,4.080506150783525
3,4.106820426640354
4,4.05265698794028
5,4.0336129670142755
6,4.0862394268756335
7,4.113245680990698
8,4.044949563759273
9,4.02563265168189
10,4.077611103438377
11,4.100858438194143
12,4.03944963915095
13,4.019745742566369
14,4.078940003983278
15,4.111390101194447
16,4.066687651067648
17,4.047645626960873
18,4.104808245626334
19,4.137889811760214
20,4.074009827233258
21,4.039258130910439
22,4.0979181634320065
23,4.122009460003964
