time_step,forecast_alpha_mean
0,1.2190546990017712
1,1.2213325264162538
2,1.2223087813186129
3,1.2231435679180267
4,1.2242551002359634
5,1.2275531969162092
6,1.2304141016694163
7,1.2369966614355765
8,1.2458340224498814
9,1.2526439244949803
10,1.2679592214168744
11,1.289620900936439
12,1.3238568012035512
13,1.3846474899795962
14,1.5916303344442762
15,2.1282341686407973
16,2.7180891988584555
17,3.3118333381531744
18,3.531331613948559
19,4.176656070097607
20,4.394351889510238
21,3.909864692918064
22,4.404667643994025
23,3.8600879891322353
24,3.9259967856161087
25,4.259421222492269
