history_lag,smoothed_alpha_mean
0,4.5987482940017275
1,4.594431799845044
2,4.583178858245982
3,4.591271431373276
4,4.5826892723970865
5,4.580879416099649
6,4.585056701210875
7,4.581165813945847
8,4.579652668972153
9,4.586016431161948
10,4.587801206328219
11,4.59521646633135
12,4.590854784459728
13,4.588362100040082
14,4.596531810379618
15,4.596463308144798
16,4.593206010621622
17,4.596795423880464
18,4.594293959439425
19,4.593665816556114
20,4.58851897752252
21,4.5846329628332745
22,4.591430345905163
23,4.589870739003151
24,4.589280685285887
25,4.593950958049068
26,4.591477913714194
