history_lag,smoothed_alpha_mean
0,1027.6064280970331
1,1034.6439895024985
2,1030.562298945817
3,1028.058458559448
4,1020.0400602815707
5,1024.426461641508
6,1000.4978063065959
7,948.7844126200351
8,942.534798231189
9,898.5797081590383
10,832.0404353031341
11,783.2524483075312
12,741.9155248520578
13,710.5504074710491
14,653.1884240431992
15,612.4173028149482
16,615.1173760050204
17,586.8480574214743
18,566.5186066257346
19,461.00473987243987
20,392.5460264803306
21,348.08278800451836
22,340.8488857942339
23,273.58657931280555
24,138.17423594378505
25,84.9928117696847
26,50.063614502718494
27,14.334266845764992
28,10.985093285382954
29,0.04701190669739555
30,0.02482309598566446
31,-4.291047794992861
32,1.0811888954229654
33,-1.3923385997948716
34,-0.741362730682878
35,15.738087749298026
36,5.821636375371165
37,3.701397644972581
38,15.979567950849717
39,3.369391110386285
40,9.64486907596125
41,18.55998830078437
42,-8.682549518269104
43,-32.10588378402429
44,-20.864876352103114
45,-26.009065982707526
46,-25.65868899340434
47,-45.78387806705665
