time_step,forecast_alpha_mean
0,0.9825598027276089
1,0.9821639025469452
2,0.990229497084176
3,0.9714924247330979
4,0.9863653711966219
5,0.9955294893900906
6,0.9877313075271968
7,0.9803288626166666
8,0.9806524108811878
9,0.9759891190084125
10,0.9741848121563786
11,0.9927059696569087
12,1.0109090561081777
13,1.041812663388746
14,0.9681467906171174
15,0.999149668258495
16,1.0805947331548413
17,1.3583028620289022
18,1.2272713242357254
19,1.4418551905755246
20,2.3249278083533245
21,3.3330925771711897
22,4.692020978625196
23,8.25130100011376
24,15.506868104899704
25,48.129347336381095
26,114.14176412613
27,157.51268953013465
28,184.13215460600165
29,208.3225898756703
30,228.04725308828066
31,243.37304594490172
32,253.2436154840917
33,265.4667486170331
34,281.9601210744775
35,291.94450757286114
36,295.62147772460247
37,299.4611597033348
38,303.83383803805816
39,308.85421417917166
40,309.66224803601335
41,314.4683751536393
42,334.03369186066845
43,372.1174983201239
44,496.70077956682917
45,676.5242342791084
46,869.3603393864639
47,1027.627470088238
48,1145.1245674671381
49,1231.0361308962645
50,1299.7545822577483
51,1351.9343254517455
52,1378.4960690048642
53,1403.112076935314
54,1421.5629359651678
