time_step,analysis_alpha_mean
0,0.9825598027276089
1,0.9821639025469452
2,0.990229497084176
3,0.9714924247330979
4,0.9863653711966219
5,0.9955298241366023
6,0.989049747120254
7,0.9808967559430758
8,0.9815771727570365
9,0.9869341334920874
10,0.9880724139339461
11,1.0125110561763284
12,1.0436124736972516
13,0.9736289261863726
14,1.009425925154167
15,1.0776110647130153
16,1.3414593998288038
17,1.2583944144017893
18,1.4316082359855469
19,2.3212083674293176
20,3.332707849558219
21,4.698327257683664
22,8.252200415375688
23,15.5144257609183
24,48.138835141391816
25,114.13451585921004
26,157.52228403803295
27,184.1385466980203
28,208.3172117081422
29,228.04995604726818
30,243.36919299873006
31,253.2375932041728
32,265.47308721797964
33,281.968765575514
34,291.9293706183156
35,295.6265471905115
36,299.45724759229125
37,303.81406654521123
38,308.8387654756016
39,309.6513158164658
40,314.46776465482066
41,334.03810607097586
42,372.1022385358372
43,496.7046997562309
44,676.5073816675812
45,869.3722001957256
46,1027.6064280970331
47,1145.1101775884415
48,1231.0151658991065
49,1299.7637059876695
50,1351.945854951454
51,1378.4992784893118
52,1403.1279422097016
53,1421.5605261073513
54,1435.0016737159824
