history_lag,smoothed_alpha_mean
0,208.3172117081423
1,205.20475567742153
2,203.30453650541108
3,196.45282211939966
4,191.3108488785039
5,180.72917167147173
6,140.5708180442019
7,109.60768478582493
8,87.50779700543971
9,51.674099192108834
10,23.360435668055306
11,2.520372279627113
12,4.997052175862928
13,1.0105532655869047
14,0.3155226661567107
15,0.9784395023552768
16,-2.0334446579430847
17,10.30017169044592
18,2.585110085300571
19,-2.3822744732542285
20,0.7676428233452781
21,-4.894827627162214
22,3.7597708477432548
23,4.569069904655743
24,-3.579392337886798
25,-13.149763552136454
26,-10.761371707709522
27,-0.7433967885179726
28,-3.691812246001013
29,-3.429110422928015
