2.96430e+05,3.15945e+05,2.78924e+05,3.20227e+05,2.73098e+05,3.13062e+05,3.22476e+05,3.22481e+05,3.02025e+05,2.96664e+05,3.12191e+05,2.90617e+05,3.03810e+05,3.05388e+05,3.26294e+05,3.18438e+05,3.02269e+05,3.06265e+05,3.02739e+05,3.08554e+05
1.00000e-02,1.00000e-02,1.00000e-02,1.00000e-02,1.00000e-02,1.00000e-02,1.00000e-02,1.00000e-02,1.00000e-02,1.00000e-02,1.00000e-02,1.00000e-02,1.00000e-02,1.00000e-02,1.00000e-02,1.00000e-02,1.00000e-02,1.00000e-02,1.00000e-02,1.00000e-02
1.67941e-02,1.23627e-02,2.69490e-02,1.64498e-02,2.57088e-02,1.64428e-02,1.72080e-02,2.63908e-02,1.47127e-02,1.22841e-02,1.69377e-02,1.09981e-02,1.72262e-02,1.71587e-02,1.33004e-02,1.57540e-02,1.76177e-02,1.25068e-02,3.24072e-02,1.47495e-02
2.68425e-02,1.35828e-02,4.71623e-02,2.88751e-02,4.23690e-02,2.47423e-02,3.07614e-02,4.02064e-02,2.22897e-02,1.53537e-02,2.85819e-02,1.20175e-02,2.38031e-02,2.43268e-02,1.49567e-02,2.43128e-02,2.57944e-02,1.44404e-02,7.08737e-02,2.02718e-02
3.33909e-02,1.43095e-02,6.86131e-02,4.09944e-02,6.33813e-02,3.45253e-02,4.57306e-02,4.78956e-02,3.27882e-02,2.11193e-02,3.99142e-02,1.30743e-02,2.84181e-02,3.43822e-02,1.59694e-02,3.73680e-02,3.26107e-02,1.87997e-02,9.89491e-02,2.65846e-02
3.68008e-02,1.51084e-02,8.87450e-02,4.84113e-02,8.78376e-02,4.47252e-02,5.75837e-02,5.02396e-02,4.37718e-02,3.24615e-02,4.81792e-02,1.42056e-02,3.31280e-02,4.69215e-02,1.71753e-02,5.20860e-02,3.84326e-02,2.57940e-02,1.19728e-01,3.31018e-02
3.98054e-02,1.65396e-02,1.08015e-01,5.23299e-02,1.12476e-01,5.50127e-02,6.53929e-02,5.09390e-02,5.41910e-02,5.63952e-02,5.36291e-02,1.54561e-02,4.00921e-02,5.95233e-02,1.89447e-02,6.76485e-02,4.44963e-02,3.36597e-02,1.39715e-01,4.03255e-02
4.45064e-02,1.92730e-02,1.27733e-01,5.49782e-02,1.36148e-01,6.64845e-02,7.07171e-02,5.22956e-02,6.37913e-02,1.06433e-01,5.73146e-02,1.68788e-02,4.87469e-02,7.07154e-02,2.14683e-02,8.43345e-02,5.02487e-02,4.09412e-02,1.61054e-01,4.93091e-02
5.23081e-02,2.40772e-02,1.47660e-01,5.79153e-02,1.58837e-01,8.09803e-02,7.54130e-02,5.50233e-02,7.26369e-02,1.88730e-01,5.99023e-02,1.85358e-02,5.63107e-02,8.07502e-02,2.46891e-02,1.01749e-01,5.44612e-02,4.71450e-02,1.83505e-01,6.05511e-02
6.42438e-02,3.16289e-02,1.65485e-01,6.19699e-02,1.80981e-01,9.98421e-02,8.08285e-02,5.86203e-02,8.09667e-02,2.87376e-01,6.15730e-02,2.04983e-02,6.07042e-02,9.10719e-02,2.82955e-02,1.19151e-01,5.67421e-02,5.25695e-02,2.07090e-01,7.40059e-02
8.09233e-02,4.25109e-02,1.78274e-01,6.74050e-02,2.03631e-01,1.23222e-01,8.75983e-02,6.23147e-02,8.92696e-02,3.75823e-01,6.25994e-02,2.28474e-02,6.17120e-02,1.03191e-01,3.19625e-02,1.35886e-01,5.76999e-02,5.78806e-02,2.32234e-01,8.89387e-02
1.02967e-01,5.67044e-02,1.84378e-01,7.39958e-02,2.27838e-01,1.50120e-01,9.54414e-02,6.54050e-02,9.80166e-02,4.37954e-01,6.34297e-02,2.56737e-02,6.03055e-02,1.17974e-01,3.54023e-02,1.50985e-01,5.82568e-02,6.40409e-02,2.59014e-01,1.04315e-01
1.30650e-01,7.33339e-02,1.84055e-01,8.12332e-02,2.53667e-01,1.78471e-01,1.03249e-01,6.77389e-02,1.07768e-01,4.72739e-01,6.45147e-02,2.91035e-02,5.78728e-02,1.35674e-01,3.85739e-02,1.63971e-01,5.91650e-02,7.21268e-02,2.86843e-01,1.18929e-01
1.63638e-01,9.10137e-02,1.78643e-01,8.88001e-02,2.80360e-01,2.05702e-01,1.10271e-01,6.93238e-02,1.19174e-01,4.87565e-01,6.61504e-02,3.33085e-02,5.54137e-02,1.55666e-01,4.15986e-02,1.74708e-01,6.08851e-02,8.26328e-02,3.15044e-01,1.32144e-01
2.01566e-01,1.08196e-01,1.70025e-01,9.65890e-02,3.06241e-01,2.29122e-01,1.16285e-01,7.04216e-02,1.32947e-01,4.91406e-01,6.83812e-02,3.84742e-02,5.36940e-02,1.76599e-01,4.46765e-02,1.83582e-01,6.37272e-02,9.49003e-02,3.42819e-01,1.43713e-01
2.44456e-01,1.23663e-01,1.59949e-01,1.04767e-01,3.29121e-01,2.46785e-01,1.21749e-01,7.12465e-02,1.49881e-01,4.91486e-01,7.10248e-02,4.48022e-02,5.34004e-02,1.97122e-01,4.79977e-02,1.91563e-01,6.79040e-02,1.07267e-01,3.69939e-01,1.53829e-01
2.92901e-01,1.36758e-01,1.49593e-01,1.13710e-01,3.47073e-01,2.57787e-01,1.27351e-01,7.19785e-02,1.70730e-01,4.92382e-01,7.37798e-02,5.24886e-02,5.51658e-02,2.16261e-01,5.17048e-02,1.99952e-01,7.35043e-02,1.17731e-01,3.96244e-01,1.62804e-01
3.47157e-01,1.47223e-01,1.39815e-01,1.23734e-01,3.59329e-01,2.62377e-01,1.33630e-01,7.27890e-02,1.95948e-01,4.96334e-01,7.63386e-02,6.17242e-02,6.00024e-02,2.33689e-01,5.58601e-02,2.09894e-01,8.03623e-02,1.25019e-01,4.21739e-01,1.71495e-01
4.05964e-01,1.55169e-01,1.30972e-01,1.35168e-01,3.66022e-01,2.61435e-01,1.40542e-01,7.37266e-02,2.25504e-01,5.03839e-01,7.84600e-02,7.26960e-02,6.92936e-02,2.49555e-01,6.04234e-02,2.22298e-01,8.80829e-02,1.28744e-01,4.46333e-01,1.80668e-01
4.65885e-01,1.60920e-01,1.23328e-01,1.48207e-01,3.67998e-01,2.56258e-01,1.47704e-01,7.48189e-02,2.58406e-01,5.14367e-01,8.00924e-02,8.55961e-02,8.45780e-02,2.64077e-01,6.52981e-02,2.37728e-01,9.61146e-02,1.29267e-01,4.69965e-01,1.90764e-01
