history_lag,smoothed_alpha_mean
0,1.4383254769236025
1,1.4339812722706944
2,1.4659818485051743
3,1.4664590993019102
4,1.4479512837311552
5,1.421484544833648
6,1.4395035780821646
7,1.4739592181741048
8,1.4421387332201256
9,1.422488785990961
10,1.4273120156418357
11,1.4254585726431503
12,1.4288723996392256
13,1.4377579642006473
14,1.4231507630713969
15,1.4686745081262433
16,1.5177251812152304
17,1.5218541594870165
18,1.5248626010433284
19,1.486927811428704
20,1.4858889089340375
21,1.4792306965211817
