LINKNO,subw_4,subw_5,subw_6,subw_7,subw_8
42411,1221,658,532,517,515
42413,737,532,519,134,134
42414,961,571,153,153,153
42415,989,606,530,516,515
42416,954,605,529,516,515
42417,882,586,529,516,515
42418,874,588,522,153,153
42420,884,589,522,153,153
42421,1241,676,536,518,515
42423,572,134,134,134,134
42424,734,564,528,57,57
42426,667,545,522,153,153
42427,622,530,134,134,134
42428,57,57,57,57,57
42429,622,530,134,134,134
42431,1045,627,536,518,515
42433,773,574,526,514,514
42434,842,543,153,153,153
42435,525,134,134,134,134
42436,773,574,526,514,514
42438,870,574,526,514,514
42439,611,528,134,134,134
42440,611,528,134,134,134
42441,1101,637,537,519,515
42443,153,153,153,153,153
42445,948,602,518,139,139
42449,1044,624,531,139,139
42452,122,122,122,122,122
42458,1135,650,542,514,514
42461,1009,613,533,514,514
42462,1175,656,543,514,514
42463,815,580,521,170,170
42465,701,555,526,514,514
42468,826,581,525,139,139
42473,1179,661,545,521,514
42475,1244,679,541,514,514
42476,1179,661,545,521,514
42477,1171,645,541,514,514
42482,1244,679,541,514,514
42485,1312,696,555,520,514
42487,694,538,126,126,126
42488,620,126,126,126,126
42490,934,566,525,139,139
42491,60,60,60,60,60
42492,1238,672,550,521,514
42493,930,576,126,126,126
42496,1334,700,556,522,514
42497,1007,593,126,126,126
42498,156,156,156,156,156
42502,156,156,156,156,156
42505,905,546,523,156,156
42506,1375,705,546,522,514
42507,569,527,156,156,156
42508,627,535,90,90,90
42509,688,533,156,156,156
42511,1373,706,557,522,514
42514,1384,708,558,522,514
