LINKNO,subw_4,subw_5,subw_6,subw_7,subw_8
71406,514,320,276,266,258
71408,738,372,286,264,258
71409,890,405,295,266,258
71412,514,320,276,266,258
71414,965,405,295,266,258
71415,790,377,283,266,258
71420,946,416,292,266,258
71422,1088,442,297,266,258
71430,973,417,292,266,258
71490,1139,455,302,265,258
71504,571,304,269,260,259
71505,579,293,268,260,259
71508,1116,449,275,265,258
71509,1120,452,301,265,258
71511,454,301,269,260,259
71512,1138,457,301,265,258
71513,1138,457,301,265,258
71515,426,288,262,260,259
71518,569,326,279,261,259
71519,926,401,289,262,259
71520,1134,456,301,265,258
71521,748,375,289,262,259
71524,333,269,258,68,68
71526,281,261,258,68,68
71527,539,326,279,261,259
71530,748,375,289,262,259
71531,856,399,294,262,259
71532,1079,435,275,265,258
71536,405,291,266,262,259
71541,277,263,260,259,259
71542,1040,435,275,265,258
71543,1060,439,299,265,258
71545,306,268,260,259,259
71548,1040,435,275,265,258
71549,405,291,266,262,259
71550,303,268,260,259,259
71551,288,262,259,258,258
71552,405,291,266,262,259
71554,991,319,275,265,258
71555,654,352,277,263,259
71556,513,319,275,265,258
71558,657,352,277,263,259
71559,463,300,266,262,259
71561,369,268,260,259,259
71563,595,334,278,263,259
71565,530,323,277,263,259
71567,460,292,267,263,259
71568,985,422,296,265,258
71569,615,313,273,258,258
71571,585,335,278,263,259
71572,367,279,259,258,258
71573,481,309,273,258,258
71574,542,313,273,258,258
71575,403,280,259,258,258
71576,542,313,273,258,258
71577,955,409,275,265,258
71578,395,287,259,258,258
71579,481,309,273,258,258
71580,382,283,264,258,258
71581,508,314,273,258,258
71582,675,341,281,265,258
71583,676,341,281,265,258
71585,398,290,264,258,258
71589,680,359,275,265,258
71590,502,262,259,258,258
71592,556,290,264,258,258
71596,587,339,271,258,258
71599,554,333,282,265,258
71600,795,319,275,265,258
71603,824,385,275,265,258
71605,1042,434,298,266,258
71607,554,333,282,265,258
71609,763,339,271,258,258
71620,514,320,276,266,258
71621,828,382,276,266,258
71624,736,370,288,266,258
71625,794,372,286,264,258
71626,514,320,276,266,258
71629,758,371,288,266,258
71630,1041,429,297,266,258
71632,758,371,288,266,258
71636,1051,429,297,266,258
71637,808,349,283,266,258
71639,965,405,295,266,258
71643,775,371,288,266,258
71644,954,415,295,266,258
71646,1088,442,297,266,258
71647,977,405,295,266,258
