LINKNO,subw_4,subw_5,subw_6,subw_7,subw_8
292193,940,3,1,1,1
163841,940,3,1,1,1
15554,940,3,1,1,1
6369,940,3,1,1,1
204162,940,3,1,1,1
61027,940,3,1,1,1
99554,940,3,1,1,1
89474,940,3,1,1,1
272931,941,3,1,1,1
82978,941,3,1,1,1
224544,941,3,1,1,1
145472,941,3,1,1,1
295998,839,3,1,1,1
56094,839,3,1,1,1
191838,839,3,1,1,1
92606,839,3,1,1,1
197888,5,1,1,1,1
159808,5,1,1,1,1
156000,5,1,1,1,1
544,5,1,1,1,1
265089,3,1,1,1,1
240225,3,1,1,1,1
50275,3,1,1,1,1
35715,3,1,1,1,1
179296,3,1,1,1,1
80064,3,1,1,1,1
95744,3,1,1,1,1
57664,3,1,1,1,1
299579,12,4,1,1,1
82523,12,4,1,1,1
114779,12,4,1,1,1
91931,12,4,1,1,1
266204,13,4,1,1,1
206172,13,4,1,1,1
248060,13,4,1,1,1
66172,13,4,1,1,1
273600,11,5,1,1,1
184671,11,5,1,1,1
260830,8,2,1,1,1
13310,8,2,1,1,1
276506,9,2,1,1,1
169433,9,2,1,1,1
249626,9,2,1,1,1
246939,9,2,1,1,1
186234,9,2,1,1,1
132250,9,2,1,1,1
291521,940,3,1,1,1
84321,940,3,1,1,1
121057,940,3,1,1,1
112545,940,3,1,1,1
106947,940,3,1,1,1
44227,940,3,1,1,1
272483,941,3,1,1,1
268451,941,3,1,1,1
213793,941,3,1,1,1
129344,941,3,1,1,1
295774,839,3,1,1,1
52062,839,3,1,1,1
75135,839,3,1,1,1
33919,839,3,1,1,1
192512,5,1,1,1,1
134496,5,1,1,1,1
145248,5,1,1,1,1
121952,5,1,1,1,1
67520,5,1,1,1,1
53408,5,1,1,1,1
264865,3,1,1,1,1
184225,3,1,1,1,1
238657,3,1,1,1,1
212673,3,1,1,1,1
178176,3,1,1,1,1
103808,3,1,1,1,1
290617,14,6,1,1,1
289499,15,7,1,1,1
265980,13,4,1,1,1
18236,13,4,1,1,1
16221,13,4,1,1,1
99324,13,4,1,1,1
247164,13,4,1,1,1
57885,13,4,1,1,1
273376,11,5,1,1,1
28544,11,5,1,1,1
182879,11,5,1,1,1
129567,11,5,1,1,1
258590,8,2,1,1,1
91038,8,2,1,1,1
268665,9,2,1,1,1
227898,9,2,1,1,1
158233,9,2,1,1,1
135161,9,2,1,1,1
244250,9,2,1,1,1
72442,9,2,1,1,1
244923,9,2,1,1,1
82299,9,2,1,1,1
1659,9,2,1,1,1
180410,9,2,1,1,1
291297,940,3,1,1,1
28546,940,3,1,1,1
268003,941,3,1,1,1
33251,941,3,1,1,1
263075,941,3,1,1,1
173699,941,3,1,1,1
56546,941,3,1,1,1
18914,941,3,1,1,1
295550,839,3,1,1,1
22718,839,3,1,1,1
191840,5,1,1,1,1
158913,5,1,1,1,1
264641,3,1,1,1,1
84097,3,1,1,1,1
172577,3,1,1,1,1
25857,3,1,1,1,1
224546,3,1,1,1,1
129569,3,1,1,1,1
198785,3,1,1,1,1
177282,3,1,1,1,1
55648,3,1,1,1,1
5920,3,1,1,1,1
300248,14,6,1,1,1
185334,14,6,1,1,1
289051,15,7,1,1,1
88571,15,7,1,1,1
265756,13,4,1,1,1
212668,13,4,1,1,1
246716,13,4,1,1,1
142333,13,4,1,1,1
117468,13,4,1,1,1
273152,11,5,1,1,1
58112,11,5,1,1,1
174815,11,5,1,1,1
131807,11,5,1,1,1
258366,8,2,1,1,1
130014,8,2,1,1,1
268441,9,2,1,1,1
42649,9,2,1,1,1
13530,9,2,1,1,1
155994,9,2,1,1,1
56761,9,2,1,1,1
31001,9,2,1,1,1
218041,9,2,1,1,1
74458,9,2,1,1,1
135386,9,2,1,1,1
11515,9,2,1,1,1
125082,9,2,1,1,1
54522,9,2,1,1,1
290849,940,3,1,1,1
84098,940,3,1,1,1
264867,941,3,1,1,1
114115,941,3,1,1,1
262851,941,3,1,1,1
20260,941,3,1,1,1
119043,941,3,1,1,1
105155,941,3,1,1,1
295326,839,3,1,1,1
36382,839,3,1,1,1
99329,5,1,1,1,1
134720,5,1,1,1,1
42209,5,1,1,1,1
16449,5,1,1,1,1
264417,3,1,1,1,1
236641,3,1,1,1,1
54977,3,1,1,1,1
31457,3,1,1,1,1
123747,3,1,1,1,1
26082,3,1,1,1,1
63266,3,1,1,1,1
140097,3,1,1,1,1
106946,3,1,1,1,1
31682,3,1,1,1,1
300024,14,6,1,1,1
57880,14,6,1,1,1
92373,14,6,1,1,1
3446,14,6,1,1,1
294650,15,7,1,1,1
40859,15,7,1,1,1
265308,13,4,1,1,1
5245,13,4,1,1,1
191164,13,4,1,1,1
179964,13,4,1,1,1
241116,13,4,1,1,1
220508,13,4,1,1,1
272928,11,5,1,1,1
89248,11,5,1,1,1
170559,11,5,1,1,1
49151,11,5,1,1,1
239103,8,2,1,1,1
242686,8,2,1,1,1
268217,9,2,1,1,1
67737,9,2,1,1,1
88122,9,2,1,1,1
70202,9,2,1,1,1
186458,9,2,1,1,1
207737,9,2,1,1,1
302498,940,3,1,1,1
167650,940,3,1,1,1
266884,941,3,1,1,1
136291,941,3,1,1,1
266212,941,3,1,1,1
153539,941,3,1,1,1
295102,839,3,1,1,1
241342,839,3,1,1,1
263969,3,1,1,1,1
239329,3,1,1,1,1
219842,3,1,1,1,1
53410,3,1,1,1,1
287479,16,8,2,1,1
282999,17,9,3,1,1
294426,15,7,1,1,1
128442,15,7,1,1,1
257692,13,4,1,1,1
250524,13,4,1,1,1
188028,13,4,1,1,1
84764,13,4,1,1,1
179292,13,4,1,1,1
39068,13,4,1,1,1
216254,13,4,1,1,1
80733,13,4,1,1,1
229245,13,4,1,1,1
32797,13,4,1,1,1
303169,648,5,1,1,1
265984,649,5,1,1,1
125983,11,5,1,1,1
111423,11,5,1,1,1
