history_lag,smoothed_alpha_mean
0,1.4907947576582194
1,1.487973402210653
2,1.494915083694076
3,1.4946919989279104
4,1.4885784227929477
5,1.4939915633744696
6,1.4971663317150457
7,1.4888313510690876
8,1.491831235793065
9,1.4916710386073802
10,1.4909761246168989
11,1.4926485696780871
12,1.490140513415494
13,1.4878965997792122
14,1.4944088552068908
15,1.49101749412927
16,1.4951823408706024
17,1.4835820300243774
18,1.4903170739235907
19,1.489562515443679
20,1.482784407397515
21,1.4882727448328918
22,1.485708914175014
23,1.4897520655163752
24,1.490715321515738
25,1.4904793139992885
26,1.4884224009717444
27,1.4857242747742456
28,1.4912151244863965
