link_id,discharge_m3s
53,0.006493288510041106
67,0.03790881163434089
69,0.00020497082857241588
70,0.015760110565543425
94,0.023282175286051074
95,0.0045260851117867335
101,9.063590585130238e-05
104,0.0031208416751355157
105,0.027284168932629537
109,0.0006458030267481849
111,1.2922317459681399e-05
113,0.011452351004836062
117,0.00014363031234475117
120,0.030290552818877107
127,0.0011020499082777342
128,0.0010701049235709312
135,2.5420234309642395e-05
142,0.02187099698483879
144,0.004630089163815109
156,0.016382318025278172
168,0.013706897285075565
170,0.0010657667116492488
179,0.0015893390992442378
260,0.028851937268291997
262,0.010029516250652187
270,0.006337584931046669
273,3.5409924205814548e-06
277,0.006182763907786495
279,0.007057727929278453
289,0.010063600435393482
290,0.002931142639220186
291,0.009843592775170848
292,0.00041481026329651864
293,0.021779641273449748
294,0.0070195263156642325
296,0.012688255160414979
301,0.0023318895416381893
302,0.003650942552564006
304,0.0026119252573459785
306,0.004066011439919929
309,0.00014178358623801018
310,0.0009216384289985519
314,0.0001437475421750181
315,0.004638230703092621
317,0.0005523018784947739
318,0.01164774873461075
319,1.3756338890402267e-05
320,0.008897745527945493
321,0.00836188908280028
325,0.007812045010915226
326,0.00027531869332682996
328,0.010703227044144064
329,0.0009706725850297072
330,0.005243197642460272
333,2.309041470652884e-05
335,0.0009249192753464097
337,0.002367694349631526
338,0.0028668797924257614
339,0.01746455842841631
340,0.008726866228514703
341,0.008183013239088413
344,0.008109698478557996
350,5.547901864540635e-05
351,0.003085967196000425
353,0.009800502020770582
354,0.0016539163971255818
358,0.0005289479539374032
359,0.013500330222861172
360,6.26548768428088e-05
361,0.021679817893328703
364,7.481495685224748e-07
365,0.013709878705636053
366,0.0007117818523932959
368,0.002708777056870258
369,7.998668686442618e-05
371,0.0014444107572127605
376,0.00044711144119869014
378,0.0005108825636386644
380,8.988364748291722e-05
382,0.011458470444831212
389,0.008274890130128106
390,0.015710132343613147
391,0.013689029309546514
392,0.012866360506550774
394,0.002411824779212609
395,0.0022012836116916254
401,0.000835852320019102
404,0.004263935869235161
405,0.010815628554312885
408,0.01470762790033518
418,0.00012033032997604307
487,0.010593553924557415
490,5.03596501630296e-05
492,0.025373030268253306
494,0.00038810631651147907
497,0.002251083101587523
498,5.536784022802183e-05
499,0.002291914191719276
503,0.002286368848246411
504,0.009862709504752053
513,0.0024616146015359257
514,0.014032152048676323
515,0.0006259744370675574
516,0.029291301925133992
517,0.00018382083417941116
519,4.157763084781692e-05
520,7.197077088410144e-05
524,0.0005827741721317771
525,0.0013323900105569463
526,0.0022751343803162406
528,0.012241932618562624
530,0.0002569923123457131
531,0.00015263645042093993
532,0.01594956558542483
534,0.00014170244857743974
538,0.009235667788270386
539,0.02109047774859699
540,4.09960489714965e-05
541,3.278188474735198e-05
542,0.00044719932345663307
543,0.004289752621557489
544,0.0014496479880863097
545,3.872634739901198e-05
546,0.013808674646410224
548,0.006665228778233921
549,0.006446332161293399
550,0.002354635367132473
551,0.01767556268116
552,0.0012655264937220278
553,0.022254763544252293
554,0.0005325405529889128
555,0.019195627733987187
557,0.0014853439076607969
558,0.001962006375867762
561,0.0039556305557473396
562,0.007933218623847932
563,0.0003147842896834395
564,0.007031831020426145
565,0.0014571212019055993
568,0.017070426358514232
569,0.009781809845147874
570,0.004714652672365288
571,0.0011362568111468558
573,0.0039216285786283535
575,0.0011451351589102886
577,0.016320261366993702
581,0.014080745814032503
582,0.01265236961905031
583,0.011703498627494851
584,0.0150563489239384
585,0.0068462603643046705
588,6.791932213750099e-07
589,0.00021243887891282415
590,0.009693181250958105
592,0.00011355184640354842
593,0.01007543972722822
594,0.01469249635820564
595,0.008727249504106605
599,0.0006917695709171944
600,0.004375114138693826
601,0.003390478150131769
602,0.0009697481806966373
604,0.0015906438344986005
606,0.011060063819741433
607,0.013730741450050954
610,0.00893473155373605
612,0.0009589120800366788
613,0.006714480596851119
614,0.00010303958522431074
615,0.000423775375341567
616,0.0005010278088948395
618,0.0030504638681617454
620,0.0006647862384207237
621,0.013529745825740746
623,0.0012404688717208416
