history_lag,smoothed_alpha_mean
0,1.4967622700180372
1,1.488860524047203
2,1.4931291323965872
3,1.4960169432863462
4,1.488051400044392
5,1.4916996936881877
6,1.4950516317703093
7,1.4884902965909934
8,1.4975706710962153
9,1.4886665069066962
10,1.485146242199997
11,1.4915122473258438
12,1.4944932988376558
13,1.4814935925871768
14,1.490178526604391
15,1.489326330112632
16,1.4923260458084544
17,1.4933190313913085
18,1.4831213096626146
19,1.4816342012444204
20,1.4899652736461197
21,1.489374771728698
22,1.4906046844908687
23,1.4857222731578736
24,1.4938697351395136
25,1.4876812658038365
26,1.4863891629088646
27,1.4888173736889767
