Cr,Q_peak
0.0,0.8259606
0.020202020202020204,0.8259606
0.04040404040404041,0.8259606
0.06060606060606061,0.8259606
0.08080808080808081,0.8259606
0.10101010101010102,0.8259606
0.12121212121212122,0.8259606
0.14141414141414144,0.8409894
0.16161616161616163,0.9029934
0.18181818181818182,0.9728016
0.20202020202020204,1.050815
0.22222222222222224,1.138619
0.24242424242424243,1.236751
0.26262626262626265,1.34507
0.2828282828282829,1.465796
0.30303030303030304,1.599924
0.32323232323232326,1.750904
0.3434343434343435,1.918208
0.36363636363636365,2.106236
0.38383838383838387,2.320174
0.4040404040404041,2.562162
0.42424242424242425,2.834854
0.4444444444444445,3.146379
0.4646464646464647,3.504091
0.48484848484848486,3.912141
0.5050505050505051,4.374881
0.5252525252525253,4.920147
0.5454545454545455,5.543889
0.5656565656565657,6.252873
0.5858585858585859,7.082942
0.6060606060606061,8.040458
0.6262626262626263,9.124438
0.6464646464646465,10.39152
0.6666666666666667,11.84695
0.686868686868687,13.46205
0.7070707070707072,15.38172
0.7272727272727273,17.5059
0.7474747474747475,19.89823
0.7676767676767677,22.6215
0.787878787878788,25.55178
0.8080808080808082,28.955
0.8282828282828284,32.50196
0.8484848484848485,36.60818
0.8686868686868687,40.87148
0.888888888888889,45.59456
0.9090909090909092,50.70471
0.9292929292929294,55.75379
0.9494949494949496,61.86659
0.9696969696969697,67.84772
0.98989898989899,73.90792
1.0101010101010102,81.0826
1.0303030303030305,88.05904
1.0505050505050506,94.79436
1.0707070707070707,102.8471
1.090909090909091,111.0293
1.1111111111111112,118.9323
1.1313131313131315,126.5391
1.1515151515151516,135.7015
1.1717171717171717,145.052
1.191919191919192,154.0897
1.2121212121212122,162.8031
1.2323232323232325,171.1883
1.2525252525252526,181.6567
1.272727272727273,192.1191
1.292929292929293,202.2514
1.3131313131313131,212.0465
1.3333333333333335,221.5127
1.3535353535353536,230.6419
1.373737373737374,241.6713
1.393939393939394,253.1803
1.4141414141414144,264.3768
1.4343434343434345,275.2462
1.4545454545454546,285.7966
1.474747474747475,296.0251
1.494949494949495,305.9536
1.5151515151515154,315.5825
1.5353535353535355,327.4561
1.5555555555555556,339.6757
1.575757575757576,351.6074
1.595959595959596,363.2655
1.6161616161616164,374.6283
1.6363636363636365,385.7302
1.6565656565656568,396.5633
1.676767676767677,407.1383
1.696969696969697,417.4482
1.7171717171717173,427.5118
1.7373737373737375,438.1298
1.7575757575757578,450.7834
1.777777777777778,463.2194
1.7979797979797982,475.4264
1.8181818181818183,487.42
1.8383838383838385,499.1901
1.8585858585858588,510.7613
1.878787878787879,522.1125
1.8989898989898992,533.2841
1.9191919191919193,544.237
1.9393939393939394,555.005
1.9595959595959598,565.5879
1.97979797979798,575.9885
2.0,586.2359
