Alpha,Q_peak
0.8,11.19929
1.0,14.79211
1.2,21.40051
1.4,32.36106
1.6,45.73119
1.7999999999999998,60.69065
2.0,77.67946
2.2,94.05938
2.4,111.7639
2.5999999999999996,127.6346
2.8,145.8498
