Alpha,Q_peak
0.8,184.6819
1.0,379.7115
1.2,727.0573
1.4,1227.831
1.6,1867.228
1.7999999999999998,2633.283
2.0,3487.807
2.2,4400.659
2.4,5350.351
2.5999999999999996,6326.203
2.8,7314.746
