Alpha,Q_peak
0.8,25.17833
1.0,47.96191
1.2,93.88288
1.4,174.536
1.6,292.2631
1.7999999999999998,440.5803
2.0,609.7288
2.2,789.2542
2.4,971.625
2.5999999999999996,1150.968
2.8,1326.074
