Alpha,Q_peak
0.8,13.60591
1.0,28.35581
1.2,60.94589
1.4,115.717
1.6,192.6137
1.7999999999999998,289.439
2.0,398.1816
2.2,517.9316
2.4,647.5502
2.5999999999999996,782.697
2.8,914.556
