Alpha,Q_peak
0.8,19.23705
1.0,26.61007
1.2,51.84262
1.4,100.2672
1.6,170.4363
1.7999999999999998,257.43
2.0,354.2942
2.2,457.2834
2.4,561.9877
2.5999999999999996,669.5098
2.8,775.3719
