Alpha,Q_peak
0.8,8.925126
1.0,23.59099
1.2,53.51209
1.4,99.76266
1.6,158.6176
1.7999999999999998,226.0488
2.0,298.9098
2.2,374.2495
2.4,447.949
2.5999999999999996,525.6765
2.8,598.9474
