Alpha,Q_peak
0.8,25.68329
1.0,49.6123
1.2,96.69871
1.4,168.7626
1.6,265.5508
1.7999999999999998,376.854
2.0,495.6873
2.2,618.1058
2.4,741.936
2.5999999999999996,867.1217
2.8,992.4911
