Alpha,Q_peak
0.8,74.52427
1.0,150.7695
1.2,287.8755
1.4,491.1392
1.6,762.1309
1.7999999999999998,1086.141
2.0,1449.535
2.2,1840.529
2.4,2246.973
2.5999999999999996,2666.404
2.8,3094.52
