Alpha,Q_peak
0.8,43.84517
1.0,56.57009
1.2,75.54166
1.4,100.0185
1.6,127.9351
1.7999999999999998,157.4459
2.0,186.8976
2.2,215.9221
2.4,244.3106
2.5999999999999996,271.9905
2.8,302.6296
