Alpha,Q_peak
0.8,758.2288
1.0,1148.8
1.2,1567.683
1.4,2025.722
1.6,2532.563
1.7999999999999998,3037.974
2.0,3572.229
2.2,4113.281
2.4,4707.343
2.5999999999999996,5296.429
2.8,5890.341
