Alpha,Q_peak
0.8,11.55263
1.0,15.60156
1.2,19.59611
1.4,24.60592
1.6,29.76518
1.7999999999999998,34.94431
2.0,40.12266
2.2,45.74276
2.4,52.51703
2.5999999999999996,59.37559
2.8,66.28859
