Alpha,Q_peak
0.8,54.31366
1.0,72.56922
1.2,91.44685
1.4,110.7072
1.6,132.2073
1.7999999999999998,154.7662
2.0,177.7183
2.2,200.9247
2.4,224.2764
2.5999999999999996,247.693
2.8,271.1068
