Alpha,Q_peak
0.8,25.69071
1.0,40.8009
1.2,61.31493
1.4,87.25934
1.6,118.2812
1.7999999999999998,154.6073
2.0,195.3461
2.2,240.644
2.4,289.7976
2.5999999999999996,342.9039
2.8,399.283
