Alpha,Q_peak
0.8,164.8576
1.0,273.7415
1.2,398.1497
1.4,531.4006
1.6,671.8906
1.7999999999999998,815.5524
2.0,967.8577
2.2,1113.669
2.4,1257.712
2.5999999999999996,1420.593
2.8,1578.558
