Alpha,Q_peak
0.8,0.8217763
1.0,1.010557
1.2,1.235802
1.4,1.503835
1.6,1.822734
1.7999999999999998,2.1985
2.0,2.638225
2.2,3.14884
2.4,3.747814
2.5999999999999996,4.426991
2.8,5.215172
