Alpha,Q_peak
0.8,3.471184
1.0,4.944818
1.2,6.932939
1.4,9.568358
1.6,12.96834
1.7999999999999998,17.34272
2.0,22.72943
2.2,29.21677
2.4,36.87104
2.5999999999999996,45.71618
2.8,55.68671
