time_step,forecast_alpha_mean
0,1.2190546990017712
1,1.223307781614236
2,1.2264079767584544
3,1.2284978907921573
4,1.2388482705636354
5,1.2898634928953028
6,1.693751573394877
7,3.15399589687123
8,3.451209005429752
9,3.9002654866446655
10,4.457624873542259
11,4.211429591697584
12,4.608125651645798
13,3.7901504209770813
14,4.615029561148914
15,4.616599604326383
