time_step,analysis_alpha_mean
0,1.2190687613830902
1,1.2233811933137195
2,1.2269348404573364
3,1.238455832106846
4,1.288281953842599
5,1.6907509114895436
6,3.1543443365077657
7,3.452913449021084
8,3.8973764046875967
9,4.457968711306413
10,4.2109917988629295
11,4.608254141274477
12,3.790143504916834
13,4.615080413391207
14,4.616592497592188
15,4.620262217290707
