history_lag,smoothed_alpha_mean
0,0.9893784207467988
1,0.9755704524657973
2,0.9759378869562646
3,0.9815642505152669
4,0.9658611856763544
5,0.9662212348444511
6,0.9690651451761173
7,0.9587780867223923
8,0.9566059843959384
9,0.9726062725131783
10,0.9728448979115452
11,0.9635909901261682
12,0.9503576206774141
13,0.959367137301673
14,0.9765949573476432
15,0.9606847148706534
16,0.9508597412560711
17,0.9532713560815087
18,0.9523446345821652
19,0.9540515480802034
20,0.9584943303609146
21,0.9511907297962888
22,0.9739526023237118
23,0.9984779388682051
24,1.0005424280040989
25,1.0020466487822548
26,0.9830792539749426
27,0.9825598027276088
28,0.979230696521181
