history_lag,smoothed_alpha_mean
0,0.9759378869562646
1,0.9815642505152669
2,0.9658611856763544
3,0.9662212348444511
4,0.9690651451761173
5,0.9587780867223923
6,0.9566059843959384
7,0.9726062725131783
8,0.9728448979115452
9,0.9635909901261682
10,0.9503576206774141
11,0.959367137301673
12,0.9765949573476432
13,0.9606847148706534
14,0.9508597412560711
15,0.9532713560815087
16,0.9523446345821652
17,0.9540515480802034
18,0.9584943303609146
19,0.9511907297962888
20,0.9739526023237118
21,0.9984779388682051
22,1.0005424280040989
23,1.0020466487822548
24,0.9830792539749426
25,0.9825598027276088
26,0.979230696521181
