link_id,discharge_m3s
53,0.0012549331987003467
67,0.008864660169379025
69,0.00012048670071696274
70,0.003968592183774121
94,0.005599013422638453
95,0.0013684278332189096
101,8.231488826734797e-05
104,0.0008134539005828516
105,0.006561001667758985
109,0.000355657063244327
111,1.0568225670421648e-05
113,0.002147149263023403
117,0.00011506031658962841
120,0.007961500390576505
127,0.000549600561471894
128,0.00047636908684666086
135,2.5522798840710636e-05
142,0.004432552149503304
144,0.0011759687255537736
156,0.004391432804990178
168,0.0035777862805019722
170,0.00045697488743909115
179,0.0007788447071620653
260,0.00584204536376547
262,0.002150308050121326
270,0.001765338825497181
273,4.189047910514647e-06
277,0.00142371145629966
279,0.0021826123478570427
289,0.0028115116759036035
290,0.001216145347061793
291,0.002082003499523758
292,0.0002564521603981702
293,0.00419511310719844
294,0.001722815309330733
296,0.003060856635493133
301,0.0009527965665265815
302,0.0009360816962043579
304,0.0008287458963569732
306,0.0009250731833709358
309,8.981731321777726e-05
310,0.00047860559759618196
314,0.00011043847209044732
315,0.0015567375386025372
317,0.00027291059420538
318,0.0025540193374809146
319,1.0031954896260714e-05
320,0.001676709679099793
321,0.0019713210458119483
325,0.0014908761762981062
326,0.00018071331635612802
328,0.0026191718486580206
329,0.00034762009167504915
330,0.0018148079021763697
333,2.2455192504836637e-05
335,0.0005202824003714652
337,0.0006494224664850716
338,0.0006276035340142386
339,0.004609210986972029
340,0.0019888392811168052
341,0.0019346187947783355
344,0.0018493674991166375
350,4.11577209655131e-05
351,0.001072850124808211
353,0.0026274527829946892
354,0.0005282151719972975
358,0.00030215474612147635
359,0.0031113599672952436
360,6.05574111152801e-05
361,0.004542274566162779
364,8.787020976161857e-07
365,0.002841887712993799
366,0.0002509079797277455
368,0.0009627193356764546
369,7.680621869502362e-05
371,0.000519537195073169
376,0.0002693859053018587
378,0.0002628464823445357
380,6.679420453903546e-05
382,0.0030690886307018867
389,0.0019463583086100614
390,0.004391427531310145
391,0.0033241962701631507
392,0.002392717240364604
394,0.0008659398054890507
395,0.0007385204760133989
401,0.0004307993475824549
404,0.0011576197409514217
405,0.0033554405311607854
408,0.0034588341907997133
418,8.466260559319963e-05
487,0.0033361127371692796
490,4.8539343258500865e-05
492,0.0062207224929267
494,0.00028422030661567964
497,0.0009172440902449618
498,3.440470880788224e-05
499,0.0008365606339517044
503,0.001075464513155465
504,0.0028822207088314137
513,0.0008550165814405159
514,0.0030049734130438
515,0.0003668898949302063
516,0.008191845879447884
