history_lag,smoothed_alpha_mean
0,3.115544127174966
1,3.194361170877836
2,3.1337847022433896
3,3.205605471435017
4,3.142516632532704
5,3.23385754724108
6,3.1906018764993545
7,3.239853128344428
8,3.1499708923801135
9,3.2357517909414515
10,3.1844442428549473
11,3.2413917131429772
12,3.137724227781474
13,3.1994040220485993
14,3.133240271626381
15,3.2290867070706515
16,3.1409025454785255
17,3.18928182634961
18,3.106125342421376
19,3.179384699550979
20,3.103615302879675
21,3.1654512390761735
22,3.0896634593979204
23,3.128014074323841
24,3.081140100714813
25,3.1678709157243503
