time_step,corrected_at_t0,corrected_at_t1,corrected_at_t2,corrected_at_t3,corrected_at_t4,corrected_at_t5,corrected_at_t6,corrected_at_t7,corrected_at_t8,corrected_at_t9,corrected_at_t10,corrected_at_t11,corrected_at_t12,corrected_at_t13,corrected_at_t14,corrected_at_t15,corrected_at_t16,corrected_at_t17,corrected_at_t18,corrected_at_t19,corrected_at_t20,corrected_at_t21,corrected_at_t22,corrected_at_t23,corrected_at_t24,corrected_at_t25
-1,2.4753831750495654,2.545841423286444,2.4970380997329853,2.58479254425851,2.4654405347697472,2.5466752972591524,2.505207193406519,2.548556637878465,2.633889474900471,2.4273869753785875,2.36265314113572,2.3675636145263503,2.290860779038621,2.350313953285762,2.327093085620425,2.3715636504008613,2.255759481562614,2.0545769038769093,2.514567193879844,2.6768007531257103,2.8812704114896195,3.11139501857044,2.508780029622593,3.613537605327495,3.1678709157243503,2.812683583396947
0,2.626652726071173,2.5538872001414736,2.5059168010147137,2.6795988230135963,2.630999099439161,2.552912808128583,2.5156901131318232,2.548446596966609,2.6884284225977124,2.427916559978137,2.3526966795113573,2.3743440876040856,2.46968051622872,2.447085453479492,2.338052603443728,2.370034032414515,2.3679143811115573,2.069663570393881,2.5310506331149325,2.6727285562035643,2.850245881787927,3.1098633063727634,2.45729760351332,3.4999222526995,3.081140100714813,2.8338487606079785
1,,2.549620678653066,2.444896916579741,2.56387290798181,2.459711273651624,2.5358166536207887,2.425218966677892,2.536907864557708,2.451095270154027,2.431105393388027,2.2644676347830406,2.403949050844704,2.28963350643162,2.400654692412361,2.232537025598416,2.369074034323073,2.258028866249203,2.048881805433393,2.452495520504752,2.670181859006473,2.88643641774712,3.1181857357877485,2.593082956111686,2.361384489775351,3.128014074323841,2.808604855817566
2,,,2.7475118042110225,2.4036020225337267,2.626206739713559,2.550217691310688,2.7426663176445825,2.541457264038831,2.705232641259052,2.4320525349778688,2.6233538854653053,2.405771979949686,2.4723527009362747,2.257574090243335,2.505572019380795,2.3778453068376995,2.368345746305083,2.044360302166946,2.839217045723771,2.6703565921129497,2.8656666268999293,3.1093370781013285,2.5382401287809087,2.3269024497715787,3.0896634593979204,2.7985312342252757
3,,,,2.507959211386159,2.472122254268628,2.5420314019212102,2.5094258835241794,2.552464506168889,2.501764017084759,2.429547601055652,2.361928254970877,2.378408609259661,2.290110443643492,2.408514994792068,2.328125479771243,2.359699376911514,2.256308002676123,2.044057552598498,2.825751952726153,2.6959461790931787,2.8889256713601505,3.1113191291605835,2.536071750743752,2.203846505098352,3.165451239076173,2.7715326280540293
4,,,,,2.6294122797224446,2.557536888282851,2.514445221479771,2.5482497407968348,2.496276232974564,2.4389271928588667,2.350098915187227,2.3756499779587044,2.4715104363072604,2.358387610739635,2.3372870297372788,2.3735029007595028,2.3764809110852045,2.0658671669801647,2.7752123567616893,2.7091962372171774,2.860774022994661,3.1180829232256064,2.4711954200714645,2.201206230246942,3.103615302879675,2.784973250110858
5,,,,,,2.546393961177512,2.431924869746915,2.546780998302513,2.622551076367218,2.435979849336594,2.267106010367133,2.383464461710772,2.284718299438355,2.4591962568532804,2.231966058110086,2.3561190440848474,2.2522845341054163,2.0590593968507047,2.735522857479092,2.6997883254929755,2.889972493882988,3.113007657993419,2.5592179437281453,2.1670853536344734,3.179384699550979,2.751374871652032
6,,,,,,,2.742244066463909,2.547133536801617,2.610899290217989,2.4371666120907163,2.622971715535811,2.4086966541776027,2.473591688044868,2.4069227304566736,2.5069398557060345,2.37230169050842,2.365640086029172,2.046551784022347,2.629660283202963,2.6978670693688427,2.8631789943795,3.094500915904118,2.520165953851891,2.316948067201833,3.106125342421376,2.7843871692346003
7,,,,,,,,2.541719663745761,2.055615986285664,2.438218374794598,2.368051052400088,2.3863738161773345,2.290316285900236,2.249321142404003,2.3288824842164217,2.354172472748123,2.24862538304986,2.044951843040713,2.006481236004115,2.683036352221756,2.888564236736063,3.076945108346273,2.531947462858966,2.6465722377623404,3.18928182634961,2.790851227063342
8,,,,,,,,,2.579477332404215,2.4318710795607794,2.351081568660907,2.3740799984626126,2.461899357538893,2.413743388014149,2.342783915909826,2.3730770482238963,2.369341942261351,2.049018867355776,2.352052162285738,2.7030012526629568,2.8586484707766315,3.087576187344122,2.46459652953754,3.1143738263515863,3.140902545478525,2.772280439001666
