history_lag,smoothed_alpha_mean
0,2.7972020322607984
1,2.7814051685197354
2,2.7997851625060783
3,2.813683355975037
4,2.8083779409716922
5,2.79806955777875
6,2.7778413460642972
7,2.7794404282758127
8,2.7946415243440303
9,2.7941631487889476
10,2.802772304173681
11,2.7933284188916656
12,2.7891044355250023
13,2.8151262063873506
14,2.7743440136861137
15,2.788151960801847
16,2.805447639777042
17,2.772280439001666
18,2.790851227063342
19,2.7843871692346003
20,2.751374871652032
21,2.784973250110858
22,2.7715326280540293
23,2.7985312342252757
24,2.808604855817566
25,2.8338487606079785
26,2.812683583396947
