history_lag,smoothed_alpha_mean
0,3.6035696156368098
1,3.514831267585042
2,2.646182553319892
3,2.6356494851209384
4,2.4239300954714076
5,2.2525347564245517
6,1.2751406748792093
7,1.6448781128053587
8,2.531260776603791
9,2.632515877169691
10,2.751055404654248
11,2.860201813295878
12,2.9614769549761775
13,3.51428161739194
14,3.9162558652101556
15,3.1143738263515863
16,2.6465722377623404
17,2.3169480672018326
18,2.1670853536344734
19,2.201206230246942
20,2.2038465050983516
21,2.3269024497715787
22,2.361384489775351
23,3.4999222526995
24,3.613537605327495
