time_step,analysis_alpha_mean
0,0.9795636071418242
1,0.978407070640954
2,0.9792375694928209
3,0.9812443773499211
4,0.981297449658669
5,0.9827123827666026
6,0.9823038565524952
7,0.9819961458846617
8,0.9827217468390146
9,0.9831495559530111
10,0.9838499506440637
11,0.9826141271212449
12,0.9826423295516594
13,0.9822177141848961
14,0.9819056365009358
15,0.9808459194280975
16,0.9810260468603854
17,0.9787568590169213
18,0.9800344127647148
19,0.9796351140423921
20,0.9803896830581413
21,0.9790357791047011
22,0.9783503101365847
23,0.9780829640652884
