1.000000e-02,1.000000e-02,1.000000e-02,1.000000e-02,1.000000e-02,1.000000e-02,1.000000e-02,1.000000e-02,1.000000e-02,1.000000e-02,1.000000e-02,1.000000e-02,1.000000e-02,1.000000e-02,1.000000e-02,1.000000e-02,1.000000e-02,1.000000e-02,1.000000e-02,1.000000e-02,
1.679413e-02,1.236267e-02,2.694898e-02,1.644981e-02,2.570884e-02,1.644282e-02,1.720799e-02,2.639084e-02,1.471265e-02,1.228411e-02,1.693772e-02,1.099814e-02,1.722617e-02,1.715870e-02,1.330039e-02,1.575403e-02,1.761771e-02,1.250677e-02,3.240719e-02,1.474947e-02,
2.684245e-02,1.358278e-02,4.716234e-02,2.887510e-02,4.236892e-02,2.474235e-02,3.076142e-02,4.020635e-02,2.228971e-02,1.535366e-02,2.858187e-02,1.201745e-02,2.380306e-02,2.432680e-02,1.495668e-02,2.431278e-02,2.579442e-02,1.444036e-02,7.087374e-02,2.027180e-02,
3.339088e-02,1.430953e-02,6.861307e-02,4.099436e-02,6.338131e-02,3.452528e-02,4.573060e-02,4.789556e-02,3.278820e-02,2.111932e-02,3.991419e-02,1.307425e-02,2.841805e-02,3.438222e-02,1.596939e-02,3.736798e-02,3.261070e-02,1.879969e-02,9.894908e-02,2.658463e-02,
3.680078e-02,1.510840e-02,8.874503e-02,4.841128e-02,8.783776e-02,4.472524e-02,5.758365e-02,5.023957e-02,4.377176e-02,3.246154e-02,4.817919e-02,1.420564e-02,3.312797e-02,4.692153e-02,1.717532e-02,5.208602e-02,3.843264e-02,2.579401e-02,1.197283e-01,3.310179e-02,
3.980541e-02,1.653956e-02,1.080148e-01,5.232994e-02,1.124771e-01,5.501268e-02,6.539291e-02,5.093899e-02,5.419096e-02,5.639524e-02,5.362910e-02,1.545610e-02,4.009206e-02,5.952333e-02,1.894470e-02,6.764851e-02,4.449632e-02,3.365966e-02,1.397153e-01,4.032551e-02,
4.450642e-02,1.927298e-02,1.277330e-01,5.497824e-02,1.361505e-01,6.648453e-02,7.071708e-02,5.229560e-02,6.379128e-02,1.064327e-01,5.731463e-02,1.687878e-02,4.874695e-02,7.071538e-02,2.146825e-02,8.433449e-02,5.024866e-02,4.094122e-02,1.610542e-01,4.930907e-02,
5.230808e-02,2.407723e-02,1.476604e-01,5.791527e-02,1.588389e-01,8.098034e-02,7.541297e-02,5.502215e-02,7.263690e-02,1.887297e-01,5.990231e-02,1.853575e-02,5.631069e-02,8.075019e-02,2.468909e-02,1.017492e-01,5.446121e-02,4.714504e-02,1.835053e-01,6.055110e-02,
6.424381e-02,3.162890e-02,1.654852e-01,6.196990e-02,1.809806e-01,9.984212e-02,8.082855e-02,5.861742e-02,8.096667e-02,2.873761e-01,6.157295e-02,2.049834e-02,6.070418e-02,9.107192e-02,2.829551e-02,1.191512e-01,5.674206e-02,5.256952e-02,2.070895e-01,7.400592e-02,
8.092326e-02,4.251091e-02,1.782742e-01,6.740504e-02,2.036453e-01,1.232219e-01,8.759827e-02,6.231462e-02,8.926955e-02,3.758230e-01,6.259941e-02,2.284742e-02,6.171201e-02,1.031911e-01,3.196254e-02,1.358863e-01,5.769980e-02,5.788061e-02,2.322340e-01,8.893867e-02,
1.029665e-01,5.670443e-02,1.843778e-01,7.399576e-02,2.278594e-01,1.501200e-01,9.544142e-02,6.540421e-02,9.801659e-02,4.379542e-01,6.342970e-02,2.567369e-02,6.030549e-02,1.179739e-01,3.540231e-02,1.509853e-01,5.825658e-02,6.404088e-02,2.590145e-01,1.043150e-01,
1.306504e-01,7.333390e-02,1.840553e-01,8.123320e-02,2.536845e-01,1.784711e-01,1.032487e-01,6.773973e-02,1.077678e-01,4.727390e-01,6.451470e-02,2.910355e-02,5.787284e-02,1.356738e-01,3.857392e-02,1.639715e-01,5.916452e-02,7.212680e-02,2.868426e-01,1.189294e-01,
1.636378e-01,9.101366e-02,1.786432e-01,8.880005e-02,2.803683e-01,2.057020e-01,1.102711e-01,6.932388e-02,1.191736e-01,4.875653e-01,6.615040e-02,3.330856e-02,5.541367e-02,1.556659e-01,4.159860e-02,1.747080e-01,6.088388e-02,8.263278e-02,3.150439e-01,1.321445e-01,
2.015656e-01,1.081958e-01,1.700248e-01,9.658895e-02,3.062442e-01,2.291220e-01,1.162850e-01,7.041590e-02,1.329466e-01,4.914059e-01,6.838121e-02,3.847418e-02,5.369397e-02,1.765994e-01,4.467653e-02,1.835820e-01,6.372418e-02,9.490030e-02,3.428193e-01,1.437126e-01,
2.444560e-01,1.236627e-01,1.599487e-01,1.047672e-01,3.291271e-01,2.467855e-01,1.217490e-01,7.124268e-02,1.498809e-01,4.914862e-01,7.102480e-02,4.480219e-02,5.340044e-02,1.971217e-01,4.799774e-02,1.915635e-01,6.789818e-02,1.072672e-01,3.699387e-01,1.538285e-01,
2.929013e-01,1.367580e-01,1.495930e-01,1.137099e-01,3.470837e-01,2.577874e-01,1.273511e-01,7.197993e-02,1.707301e-01,4.923817e-01,7.377981e-02,5.248862e-02,5.516582e-02,2.162611e-01,5.170483e-02,1.999523e-01,7.349499e-02,1.177309e-01,3.962439e-01,1.628042e-01,
3.471574e-01,1.472231e-01,1.398151e-01,1.237339e-01,3.593237e-01,2.623765e-01,1.336303e-01,7.278032e-02,1.959484e-01,4.963336e-01,7.633860e-02,6.172424e-02,6.000245e-02,2.336893e-01,5.586006e-02,2.098935e-01,8.034935e-02,1.250186e-01,4.217391e-01,1.714950e-01,
4.059643e-01,1.551706e-01,1.309721e-01,1.351681e-01,3.660113e-01,2.614355e-01,1.405424e-01,7.371163e-02,2.255039e-01,5.038390e-01,7.845999e-02,7.269605e-02,6.929357e-02,2.495546e-01,6.042344e-02,2.222981e-01,8.806731e-02,1.287436e-01,4.463330e-01,1.806678e-01,
4.658849e-01,1.609218e-01,1.233277e-01,1.482066e-01,3.680134e-01,2.562579e-01,1.477050e-01,7.479803e-02,2.584063e-01,5.143666e-01,8.009236e-02,8.559605e-02,8.457804e-02,2.640773e-01,6.529814e-02,2.377278e-01,9.609781e-02,1.292671e-01,4.699656e-01,1.907639e-01,
5.218847e-01,1.649280e-01,1.168426e-01,1.629947e-01,3.662929e-01,2.482113e-01,1.543179e-01,7.612500e-02,2.930156e-01,5.268259e-01,8.126596e-02,1.006312e-01,1.067613e-01,2.774253e-01,7.039089e-02,2.563671e-01,1.038780e-01,1.273956e-01,4.924926e-01,2.019831e-01,
5.694425e-01,1.676940e-01,1.114835e-01,1.796457e-01,3.616569e-01,2.385062e-01,1.598725e-01,7.769808e-02,3.271700e-01,5.399688e-01,8.204567e-02,1.180323e-01,1.353283e-01,2.895038e-01,7.554817e-02,2.781971e-01,1.110548e-01,1.239977e-01,5.137897e-01,2.143063e-01,
