link_id,discharge_m3s
53,0.008773773633573225
67,0.049225573372753614
69,0.0002725283587021321
70,0.01811095411046853
94,0.032420781693392714
95,0.00527463595624628
101,0.00010634217041727192
104,0.0037902085491805767
105,0.03584298604788242
109,0.0009626432978910234
111,1.2314236634022489e-05
113,0.013811069435721133
117,0.00014456853021699686
120,0.039014384447213744
127,0.0014770316139243204
128,0.0029261040872844367
135,2.5425389469466214e-05
142,0.02507660027271122
144,0.007605415995309749
156,0.02085832001386437
168,0.017894943859754722
170,0.0016177003621122871
179,0.003738132192844822
260,0.03635828519577954
262,0.01299802872412158
270,0.008517514596432298
273,2.6710780871842084e-06
277,0.007662797205564121
279,0.009009414287392383
289,0.012390490723055043
290,0.003920601293441418
291,0.013154127760951128
292,0.0004146142100629721
293,0.029453161693772975
294,0.007358016872269705
296,0.01635417837734396
301,0.0028349639533601393
302,0.004050530668614408
304,0.0042866203384752085
306,0.005450005504049189
309,0.00020336676124269309
310,0.0009257202512782042
314,0.00014264974748654904
315,0.0054715873873525415
317,0.0005439806037944828
318,0.012021078827807952
319,2.1563853348527885e-05
320,0.015336771122151437
321,0.012126853551580101
325,0.007211427601097847
326,0.00036449096797204803
328,0.014271888100013102
329,0.0018609423514174646
330,0.0062331646434646126
333,2.5754588957945186e-05
335,0.0013379697433298574
337,0.0024922781876554347
338,0.0032854114059336693
339,0.020362038344565857
340,0.01349816406455588
341,0.012170941050786796
344,0.00715157938388282
350,6.865485061279848e-05
351,0.004393994308777261
353,0.01229388948373109
354,0.002301958988415531
358,0.0008849679590913141
359,0.015711859034127598
360,9.332330137541661e-05
361,0.029667289142502416
364,6.758204835665598e-07
365,0.019318387149286114
366,0.0009062950825457123
368,0.0030322991684462296
369,9.770100032933133e-05
371,0.0018632002681367682
376,0.00046394657265260493
378,0.0005429918024341886
380,0.00010478090945933055
382,0.01626450850893932
389,0.015377609100368948
390,0.017086498682101273
391,0.019901152913212202
392,0.018105076863550264
394,0.003131307720189519
395,0.0029441795847640006
401,0.0009085096709478348
404,0.008938592973020704
405,0.012393146708614617
408,0.02420241609550731
418,0.00012665021657078148
487,0.010449639137150865
490,6.654889205618094e-05
492,0.0330589055144461
494,0.00044433115146869735
497,0.0029459356226558104
498,4.300964263232042e-05
499,0.0024136426998105837
503,0.002288484132279325
504,0.01216081274303034
513,0.0033544476179172633
514,0.023037839691677258
515,0.0008383134211790654
516,0.0362169636373409
517,0.00023807947030456874
519,4.392766544744348e-05
520,0.00010455451792436547
524,0.001170042157582843
525,0.001641484932579451
526,0.0034502317693786465
528,0.014613597644148464
530,0.00029448534826445003
531,0.00020534290899382104
532,0.02263347239360791
534,0.00015619792289246558
538,0.010351770348485653
539,0.026184519912145997
540,3.544932488555455e-05
541,3.8152334243539784e-05
542,0.0008473462924944
543,0.005294369021298984
544,0.0017994081514713248
545,3.769483516855423e-05
546,0.017992332106855656
548,0.00903531448462742
549,0.007295267401321823
550,0.002808210992999866
551,0.02529533129530781
552,0.0014638833525336145
553,0.022731037842199767
554,0.00048201794126881317
555,0.0238170240098525
557,0.0012997727958028605
558,0.0025430350180747564
561,0.007136786109735902
562,0.009644400873358636
563,0.0003241780446340847
564,0.008687453035106978
565,0.0020192069529616054
568,0.01768793961634147
569,0.014054890013582167
570,0.006822040316234169
571,0.0011523133185567744
