time_step,analysis_alpha_mean
0,1.385888908934037
1,1.3869278114287038
2,1.4248626010433285
3,1.4218541594870162
4,1.4177251812152292
5,1.3686745081262435
6,1.3231507630713966
7,1.3377579642006474
8,1.3288723996392258
9,1.3254585726431498
10,1.3273120156418359
11,1.3224887859909606
12,1.3421387332201258
13,1.3739592181741045
14,1.3395035780821645
15,1.3214845448336479
16,1.3479512837311551
17,1.3664590993019092
18,1.365981848505175
19,1.333981272270695
20,1.3383254769236022
21,1.3588995938310529
22,1.3532117731677198
23,1.352491674831528
