history_lag,smoothed_alpha_mean
0,1.3524916748315277
1,1.3532117731677198
2,1.3588995938310529
3,1.3383254769236022
4,1.3339812722706952
5,1.3659818485051753
6,1.3664590993019095
7,1.3479512837311554
8,1.3214845448336485
9,1.3395035780821647
10,1.3739592181741045
11,1.3421387332201258
12,1.3224887859909602
13,1.3273120156418352
14,1.3254585726431494
15,1.3288723996392258
16,1.3377579642006474
17,1.3231507630713963
18,1.3686745081262432
19,1.4177251812152292
20,1.4218541594870169
21,1.4248626010433285
22,1.3869278114287034
23,1.3858889089340365
24,1.3792306965211807
