history_lag,smoothed_alpha_mean
0,1.3383254769236022
1,1.3339812722706952
2,1.3659818485051753
3,1.3664590993019095
4,1.3479512837311554
5,1.3214845448336485
6,1.3395035780821647
7,1.3739592181741045
8,1.3421387332201258
9,1.3224887859909602
10,1.3273120156418352
11,1.3254585726431494
12,1.3288723996392258
13,1.3377579642006474
14,1.3231507630713963
15,1.3686745081262432
16,1.4177251812152292
17,1.4218541594870169
18,1.4248626010433285
19,1.3869278114287034
20,1.3858889089340365
21,1.3792306965211807
