history_lag,smoothed_alpha_mean
0,1.4951637449879405
1,1.4951020078601833
2,1.5022708144918877
3,1.4982822599571288
4,1.493005851926673
5,1.4916640136102084
6,1.4885059733594441
7,1.4853634245859146
8,1.490993364649244
9,1.4882520189817223
10,1.4876921768986786
11,1.4872988129469462
12,1.490062176339144
13,1.4960155986969854
14,1.4929533272616429
15,1.4907259794562724
16,1.4897270802424005
17,1.4975474298335394
18,1.4927198973017743
19,1.4877395541153215
20,1.4943900522131026
21,1.4960683518147815
22,1.492203396346312
23,1.4886363109298013
24,1.4990702355395855
25,1.4863721016839782
26,1.4878315952515542
27,1.4849866633376545
28,1.4952509886021224
29,1.49727019882704
30,1.4908480802255162
31,1.4857218234346319
32,1.4909514143027534
33,1.496877936168258
34,1.4914006796685872
