history_lag,smoothed_alpha_mean
0,1.487360655264162
1,1.4964782769987899
2,1.5013838227105316
3,1.4916467483565323
4,1.4920636020046156
5,1.4978412371866487
6,1.4943185523318299
7,1.4934454806028294
8,1.4946224750393653
9,1.4972656804203213
10,1.4978284772955635
11,1.4992993345818926
12,1.4925051434325367
13,1.4953854605958994
14,1.4960901197821017
15,1.4927185991990894
16,1.4968865520232721
17,1.4928924604637406
18,1.4992540994821906
19,1.492091723974482
20,1.4944222533202127
21,1.4956527127682622
22,1.4955703653824317
23,1.4957397742158727
24,1.4917272359012217
25,1.4908303802121823
26,1.4909770749288986
27,1.4937891698948822
28,1.495250075604924
29,1.4947733544201829
30,1.491163947299173
31,1.483949901631163
32,1.4969549516543939
33,1.4924436330519282
34,1.4890022178975921
35,1.4855622910851047
36,1.4897166242808335
37,1.4925246898984077
38,1.4934068068617194
39,1.489900272300537
40,1.486784985429354
41,1.494577326869837
42,1.4938928652612622
